Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__ephemeron__MakeSeeded_1502572
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__format__advance_loop_601872
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__format__break_line_1831
  0.00      0.05     0.00        1     0.00     2.05  camlStdlib__format__break_new_line_1825
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__format__enqueue_advance_601880
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__format__fun_903376
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__format__ksprintf_802479
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__format__pp_force_break_line_1837
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__format__pp_set_all_formatter_output_functions_902501
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__hashtbl__entry
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__hashtbl__resize_301959
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__int32__of_string_opt_1037
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__lexing__from_channel_1224
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__list__remove_assoc_1294
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__list__sort_1443
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__map__min_binding_opt_201209
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__nativeint__lognot_1096
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__parsing__grow_stacks_1178
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__random__entry
  0.00      0.05     0.00        1     0.00    20.49  camlStdlib__scanf__check_case_insensitive_string_2161
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__fun_703525
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__get_digit_202266
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__make_scanf_302552
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__scan_caml_float_2202
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__scan_decimal_digit_star_2072
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__scan_digit_plus_2096
  0.00      0.05     0.00        1     0.00    16.40  camlStdlib__scanf__scan_exponent_part_2143
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__scan_float_2152
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__scanf__token_bool_2037
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__set__find_last_aux_401362
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__set__of_list_501472
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__set__sub_401410
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__stream__do_rec_301785
  0.00      0.05     0.00        1     0.00    12.30  camlStdlib__uchar__err_not_latin1_1007
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__uchar__succ_1016
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__weak__loop_101525
  0.00      0.05     0.00        1     0.00     0.00  camlStdlib__weak__loop_1484
  0.00      0.05     0.00        1     0.00     2.05  camlStdlib__weak__resize_1461
  0.00      0.05     0.00        1     0.00    12.30  camlTypeChecker__typeCheckClause_202276
  0.00      0.05     0.00        1     0.00     0.00  camlUnify__cyclic_2729
  0.00      0.05     0.00        1     0.00     0.00  camlUnify__fun_606093
  0.00      0.05     0.00        1     0.00    18.44  camlWriteInstrToFile__entry
  0.00      0.05     0.00        1     0.00     0.00  caml_MD5Update
  0.00      0.05     0.00        1     0.00     0.00  caml_array_append
  0.00      0.05     0.00        1     0.00     0.00  caml_ba_change_layout
  0.00      0.05     0.00        1     0.00     0.00  caml_ba_get_generic
  0.00      0.05     0.00        1     0.00     0.00  caml_ba_set_N
  0.00      0.05     0.00        1     0.00     2.05  caml_ba_slice
  0.00      0.05     0.00        1     0.00     0.00  caml_bytes_set32
  0.00      0.05     0.00        1     0.00     0.00  caml_bytes_set64
  0.00      0.05     0.00        1     0.00     0.00  caml_c_thread_register
  0.00      0.05     0.00        1     0.00     0.00  caml_close_channel
  0.00      0.05     0.00        1     0.00     0.00  caml_condition_wait
  0.00      0.05     0.00        1     0.00     0.00  caml_cos_float
  0.00      0.05     0.00        1     0.00    12.30  caml_ephe_get_data
  0.00      0.05     0.00        1     0.00     0.00  caml_flush_partial
  0.00      0.05     0.00        1     0.00     0.00  caml_ml_input
  0.00      0.05     0.00        1     0.00     0.00  caml_ml_input_int
  0.00      0.05     0.00        1     0.00     2.05  caml_ml_input_scan_line
  0.00      0.05     0.00        1     0.00     0.00  caml_ml_output_int
  0.00      0.05     0.00        1     0.00     0.00  caml_ml_pos_out
  0.00      0.05     0.00        1     0.00     2.05  caml_modf_float
  0.00      0.05     0.00        1     0.00     0.00  caml_num_rows_fd
  0.00      0.05     0.00        1     0.00     0.00  caml_program
  0.00      0.05     0.00        1     0.00     0.00  caml_string_greaterthan
  0.00      0.05     0.00        1     0.00     2.05  caml_sys_get_config
  0.00      0.05     0.00        1     0.00     0.00  caml_sys_rename
  0.00      0.05     0.00        1     0.00     0.00  caml_thread_join
  0.00      0.05     0.00        1     0.00     0.00  caml_thread_new
  0.00      0.05     0.00        1     0.00     0.00  caml_thread_stop
  0.00      0.05     0.00        1     0.00     0.00  unix_chdir
  0.00      0.05     0.00        1     0.00     0.00  unix_if_indextoname

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 20.00% of 0.05 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     27.0    0.01    0.00                 camlExecuteCode__evalIs_2987 [1]
                0.00    0.00 1594410/4879485     camlDt__fun_2011616 <cycle 1> [600]
                0.00    0.00  113767/4879485     intern_rec <cycle 1> [599]
-----------------------------------------------
                                                 <spontaneous>
[2]     22.9    0.01    0.00                 camlExecuteCode__evalIsHeap_2990 [2]
                0.00    0.00  375389/4879485     intern_rec <cycle 1> [599]
                0.00    0.00  181149/4879485     camlExecuteCode__execute_2985 <cycle 1> [5]
                0.00    0.00   74805/4879485     camlStdlib__lexing__entry <cycle 1> [606]
                0.00    0.00   74805/4879485     camlLogs__entry <cycle 1> [602]
                0.00    0.00   74805/344613      camlWriteInstrToFile__fun_3314 [601]
                0.00    0.00   45413/53217       camlWriteInstrToFile__writeInstructions_1042 [613]
-----------------------------------------------
                                                 <spontaneous>
[3]     20.1    0.01    0.00                 caml_search_exe_in_path [3]
                0.00    0.00   15513/4879485     intern_rec <cycle 1> [599]
-----------------------------------------------
[4]     20.0    0.01    0.00 4879485+1241362 <cycle 1 as a whole> [4]
                0.01    0.00  436022+162118      camlExecuteCode__execute_2985 <cycle 1> [5]
                0.00    0.00 2675037+15          intern_rec <cycle 1> [599]
                0.00    0.00 2027704             camlDt__fun_2011616 <cycle 1> [600]
                0.00    0.00  309227             camlLogs__entry <cycle 1> [602]
                0.00    0.00  225593             caml_hash_mix_double <cycle 1> [604]
                0.00    0.00  146751             camlStdlib__lexing__entry <cycle 1> [606]
                0.00    0.00  146751             caml_format_exception <cycle 1> [607]
                0.00    0.00  146751             caml_obj_reachable_words <cycle 1> [608]
                0.00    0.00    2603+2080        _fini <cycle 1> [16355]
                0.00    0.00    2109             caml_input_value <cycle 1> [622]
                0.00    0.00     476             camlStdlib__set__aux_601508 <cycle 1> [634]
                0.00    0.00     474+1           caml_hash <cycle 1> [635]
                0.00    0.00     412+3           caml_input_val_core <cycle 1> [642]
                0.00    0.00     368             caml_input_val_from_bytes <cycle 1> [645]
                0.00    0.00     185             hash_aux <cycle 1> [648]
                0.00    0.00     140             caml_make_array <cycle 1> [655]
                0.00    0.00     111             caml_hash_variant <cycle 1> [661]
                0.00    0.00      79             extern_value <cycle 1> [665]
                0.00    0.00      12             caml_ba_uint8_get64 <cycle 1> [702]
                0.00    0.00       8             caml_make_vect <cycle 1> [711]
                0.00    0.00       5             caml_array_blit <cycle 1> [715]
                0.00    0.00       4             camlDt__fun_2011708 <cycle 1> [717]
                0.00    0.00       4             camlStdlib__list__rev_sort_1444 <cycle 1> [718]
                0.00    0.00       3             caml_output_val <cycle 1> [726]
                0.00    0.00       3             camlStdlib__ephemeron__get_key_1502742 <cycle 1> [720]
                0.00    0.00       1             caml_program <cycle 1> [819]
                0.00    0.00       1             camlDt__fun_2011558 <cycle 1> [751]
                0.00    0.00       1             caml_ml_input <cycle 1> [814]
                0.00    0.00       1             caml_ml_input_int <cycle 1> [815]
                0.00    0.00       1             camlLogs__report_202578 <cycle 1> [754]
                0.00    0.00       1             camlParser___menhir_goto_sentence_item_1127 <cycle 1> [757]
                0.00    0.00       1             camlStdlib__scanf__get_digit_202266 <cycle 1> [786]
                0.00    0.00       1             camlStdlib__hashtbl__entry <cycle 1> [775]
                0.00    0.00       1             camlStdlib__random__entry <cycle 1> [784]
                0.00    0.00       1             camlCamlinternalFormat__fun_8706484 <cycle 1> [745]
                0.00    0.00       1             camlCamlinternalFormat__bprint_fmt_1485 <cycle 1> [742]
                0.00    0.00       1             camlCamlinternalFormat__bprint_altint_fmt_1342 <cycle 1> [740]
                0.00    0.00       1             camlCamlinternalFormat__print_start_1271 <cycle 1> [746]
                0.00    0.00       1             camlStdlib__map__min_binding_opt_201209 <cycle 1> [781]
                0.00    0.00       1             caml_ba_change_layout <cycle 1> [804]
-----------------------------------------------
                              162118             camlExecuteCode__execute_2985 <cycle 1> [5]
                                   1             caml_program <cycle 1> [819]
                0.00    0.00    2842/4879485     camlExecuteCode__getintah_2989 [29]
                0.00    0.00   17094/4879485     camlExecuteCode__getStructureH_2991 [21]
